list,serial,code_1951,name_roman,name_nagri,area_acres,houses,households,persons,males,females,census_2011,status_2011,project_slug
populated,1,154,Adsar,अडसर,10403,57,59,311,173,138,69334,lunkaransar_2011,
populated,2,58,Ajitmana,अजीतमाना,3995,49,53,333,161,172,69245 Ajeetmana,lunkaransar_2011,ajeetwana
populated,3,69,Aloda,अलोडा,2691,2,2,11,5,6,69250 Alauda,lunkaransar_2011,
populated,4,64,Amaran,अमरान,6414,29,30,82,50,32,,not_in_2011,
populated,5,86,Arjansar,अरजनसर,2948,4,4,22,15,7,69209 Arjunsar Station?,lunkaransar_2011,
populated,6,44,Asrasar,असरासर,3006,7,7,40,17,23,69207,lunkaransar_2011,
populated,7,78,Baderan,बडेरान,13740,38,38,191,103,88,69233,lunkaransar_2011,
populated,8,102,Bakhusar,बखुसर,4960,30,30,185,99,86,69307,lunkaransar_2011,
populated,9,61,Baladesar,बाला देसर,5978,18,18,93,53,40,69229,lunkaransar_2011,
populated,10,131,Bamanwali,बामनावाली,4333,64,64,273,137,136,69269,lunkaransar_2011,
populated,11,152,Basti Charnan,बस्ती चारनान,4811,1,1,5,2,3,,not_in_2011,
populated,12,148,Basti Delwa,बस्ती देलवा,1179,28,29,139,67,72,Sridungargarh 69846 Delwan?,moved_tehsil,
populated,13,151,Basti Jogian,बस्ती जोगीयान,1121,46,47,272,146,126,69318 Jogiyasan?,lunkaransar_2011,
populated,14,22,Berawala,बेरावाला,8450,13,18,140,71,69,,not_in_2011,berawala
populated,15,109,Baderan,बाडेरां,7890,30,30,158,77,81,69294 Bhaderan,lunkaransar_2011,
populated,16,125,Bhadwan,भादवां,4165,37,37,202,95,107,69263,lunkaransar_2011,
populated,17,5,Bhandsar,भांडसर,12454,36,39,261,146,115,Chhatargarh 69785,moved_tehsil,
populated,18,51,Bhiknera,भीकनेरा,5874,27,27,169,87,82,69237 Bheekhnera,lunkaransar_2011,
populated,19,47,Bhojrasar,भोजरासर,17297,28,28,179,102,77,,not_in_2011,bhojrasar
populated,20,55,Bhunwala,भुनवाला,11921,45,47,244,128,116,,not_in_2011,bhunwala
populated,21,66,Binjarwali,बींजारवाली,13563,59,65,293,165,128,69248,lunkaransar_2011,
populated,22,71,Birmana,बीरमाना,4050,33,32,198,111,87,69240 Beermana,lunkaransar_2011,birmana
populated,23,172,Chandsar,चांदसर,2536,31,30,136,71,65,69337,lunkaransar_2011,
populated,24,167,Chhatasar,छटासर,7834,22,22,142,72,70,69330,lunkaransar_2011,
populated,25,6,Chidsar,चीडासर,5959,24,24,152,84,68,,not_in_2011,chidasar
populated,26,73,Delana Bara,डेलाना बडा,12488,53,53,345,211,134,69239,lunkaransar_2011,
populated,27,74,Delana Chhota,डेलना छोटा,8289,5,5,23,11,12,69236,lunkaransar_2011,
populated,28,9,Dewasar,देवासर,11449,21,15,88,50,38,,not_in_2011,dewasar
populated,29,147,Dhani Bhopalaram,ढाणी भोपालाराम,,24,24,110,58,52,69285,lunkaransar_2011,
populated,30,163,Dhani Pandusar,ढाणी पांडुसर,8164,60,58,272,156,116,69328,lunkaransar_2011,
populated,31,161,Dhirdan,धीरदान,10014,36,33,180,93,87,69326,lunkaransar_2011,
populated,32,135,Dhirera,धीरेरा,3891,46,50,263,136,127,69275 Dheereran,lunkaransar_2011,
populated,33,45,Duder,दुदेर,12861,20,20,93,52,41,,not_in_2011,duder
populated,34,39,Duderia,दुदेरिया,3894,12,12,57,37,20,,not_in_2011,duderiya
