date,place,killed,injured,victim_type,details,status,source
2014-01-30,Scrap store at MFFR on Sri Ganganagar-Bikaner highway,1,1,contractor labour (UP),Shell exploded in scrap store; Vijesh 21 killed; Dhiraj 23 injured,confirmed,https://www.tribuneindia.com/2014/20140131/region.htm
2018-07-01,Jasvansar rohi near range,0,0,none,Live bomb found; Army Intelligence informed,confirmed,https://www.patrika.com/bikaner-news/alive-bomb-found-in-mahajan-3034462
2019-02-14,MFFR,1,0,soldier,Col Sanjay Singh Rana gunshot during exercise,confirmed,https://www.patrika.com/bikaner-news/colonel-death-due-to-bullet-in-mahajan-field-firing-range-bikaner-4134520/
2019-03-23,Near North Camp MFFR,1,0,scrap contractor (Punjab),Manjit Singh killed when live bomb in scrap exploded while cooking,confirmed,https://www.patrika.com/bikaner-news/bikaner-news-mahajan-field-firing-range-5110913
2019-09-18,Inside MFFR,0,1,herder (Khodala village),Banwari Lal entered range looking for livestock during live fire; shrapnel wounds,confirmed,https://www.patrika.com/bikaner-news/bikaner-news-mahajan-field-firing-range-5110913
2024-11-01,Field near Mahajan; Mahajan-Sherpura link road,0,0,none,Two live bombs reported on Instagram reels (approx date),unverified,https://www.instagram.com/reel/Dae9TvtJUCl/
2024-12-15,MFFR,1,0,soldier,Gunner Chandra Prakash Patel; gun-towing vehicle slipped,confirmed,https://www.deccanherald.com/india/rajasthan/two-soldiers-killed-in-bikaner-while-loading-ammunition-in-tank-during-training-3322823
2024-12-18,North Camp Charlie Centre MFFR,3,0,soldiers,Tank ammunition charger exploded; Ashutosh Mishra; Jitendra; Ishwar Talia (died later),confirmed,https://www.newsonair.gov.in/2-soldiers-killed-1-injured-in-training-mishap-at-rajasthans-mahajan-firing-range
2025-01-15,Kanwar Sain lift canal ghoda puli Mahajan,0,0,none,Two live bombs found a week apart; police buried one pending Army disposal,confirmed,https://www.patrika.com/bikaner-news/active-bomb-found-in-mahajan-bikaner-19317531
2025-02-18,Eastern Camp MFFR,1,0,soldier,Sepoy Parshiya Mohan Venkatesh 26; rifle shot during exercise,confirmed,https://www.patrika.com/bikaner-news/soldier-mohan-venkatesh-working-in-punjab-dies-during-war-practice-at-mahajan-field-firing-range-bikaner-19411201
2026-07-01,Field in Bikaner district (village not captured),0,0,none,Live bomb found; Army cleared 1 km and detonated (approx date),unverified,https://www.youtube.com/watch?v=k-rl5CUV2cU
