site,tehsil,district,evidence,census_code,population_2011,status,source
Ranjeetpura,Kolayat (Bajju block),Bikaner,HC 2017/2022 Dhaterwal petitioners at Post Ranjeetpura Tehsil Bajju; HC 2025 Visthapit Vikas Samiti co-petitioner,069378,5559,confirmed,https://www.census2011.co.in/data/village/69378-ranjeetpura-rajasthan.html
Gajewala (Chak 2 GWSM),Bajju,Bikaner,HC 2017/2022,,,confirmed,https://indiankanoon.org/doc/183389720/
Deharia,Kolayat,Bikaner,HC 2020 Rule 24 allotments,,,confirmed,https://indiankanoon.org/doc/110754845/
Bajju village,Kolayat,Bikaner,HC 2025 16.15 bighas allotted 2001,,,confirmed,https://indiankanoon.org/doc/194551084/
Chak 1 RSM,Chhatargarh,Bikaner,HC Feb 2025 batch (1987 allotments),,,confirmed,https://indiankanoon.org/doc/150464229/
Chak 3 KPM,Chhatargarh,Bikaner,HC 2016 Heera Ram (allotted 5 Sep 1987),,,confirmed,https://indiankanoon.org/doc/174785904/
Chak 15 KJD,Khajuwala,Bikaner,HC Feb 2025 batch,,,confirmed,https://indiankanoon.org/doc/150464229/
Chak 5 SDWMU,IGNP,Bikaner,HC 2009 Khinya Ram (allotted 19 Jan 1987),,,confirmed,https://indiankanoon.org/doc/21996981/
Khajuwala,Khajuwala,Bikaner,Patrika 2018/2022; Visthapit Vikas Samiti registered here,,,press,https://www.patrika.com/bikaner-news/mahajan-firing-range-3673091
Dantor,Khajuwala,Bikaner,Patrika 2018/2022,,,press,https://www.patrika.com/bikaner-news/mahajan-firing-range-3673091
Pugal,Pugal,Bikaner,Patrika 2018/2022; Rahul Ghai fieldwork 2015,,,press+academic,http://rahulghai.blogspot.com/2015/12/
Mohangarh,Jaisalmer,Jaisalmer,Patrika 2018/2022,,,press,https://www.patrika.com/bikaner-news/mahajan-firing-range-3673091
Nachna,Pokhran,Jaisalmer,Patrika 2018/2022,,,press,https://www.patrika.com/bikaner-news/mahajan-firing-range-3673091
Sansardesar; Karnisar; Krishnanagar; Takhtpura; Samratha; Warani; Nathusar Was,IGNP villages,Bikaner,Dhatarwal community history,,,community,https://hi.wikipedia.org/wiki/सदस्य:धतरवाल_जाट
Choudhary Colony Lunkaransar,Lunkaransar,Bikaner,HC Feb 2025 petitioner addresses,069286,22931,confirmed,https://indiankanoon.org/doc/150464229/
Mahajan town,Lunkaransar,Bikaner,Patrika 2022 (Bhojrasar family),069228,7397,press,https://www.patrika.com/bikaner-news/mahajan-field-firing-range-7893463
