id,name_hindi,name_english,category,acquisition_evidence,clan_or_community,resettlement_link,status,source
1,भोजरासर,Bhojrasar,acquired,Patrika 29 Nov 2022,Sharma (Brahmin) family; others unknown,Mahajan town,press,https://www.patrika.com/bikaner-news/mahajan-field-firing-range-7893463
2,कुम्भाणा,Kumbhana,acquired,Patrika 2022; Dhatarwal community history,Dhatarwal Jat; Rathore (Ratansinghot) thikana; Lakhotiya traders,IGNP villages (Sansardesar/Karnisar etc.); Holika still burnt on site,press+community,https://www.patrika.com/bikaner-news/mahajan-field-firing-range-7893463
3,मोटलाई,Motlai,acquired,Patrika 2022,unknown,unknown,press,https://www.patrika.com/bikaner-news/mahajan-field-firing-range-7893463
4,खानीसर,Khanisar,acquired,Patrika 2022,unknown,unknown,press,https://www.patrika.com/bikaner-news/mahajan-field-firing-range-7893463
5,ठोईयां,Thoiya,acquired,Patrika 2022; Dhatarwal history,Dhatarwal Jat,IGNP villages,press+community,https://www.patrika.com/bikaner-news/mahajan-field-firing-range-7893463
6,मणेरां,Manera,acquired,Patrika 2022; Dhatarwal history,Dhatarwal Jat,IGNP villages,press+community,https://www.patrika.com/bikaner-news/mahajan-field-firing-range-7893463
7,दुदेर,Duder,acquired,Patrika 2022,unknown,unknown,press,https://www.patrika.com/bikaner-news/mahajan-field-firing-range-7893463
8,चिड़ासर,Chidasar,acquired,Lok Sabha Q.4236 21 Aug 1987 (83 residential plots compensated),unknown,unknown,confirmed,https://elibrary.sansad.in/items/7618c5ab-c33b-47d4-bb73-e1507d1532b4
9,मेऊसर (spelling unverified),Meusar,acquired,Lok Sabha Q.4236 21 Aug 1987 (192 residential plots compensated),unknown,unknown,confirmed,https://elibrary.sansad.in/items/7618c5ab-c33b-47d4-bb73-e1507d1532b4
10,खिंयाणा (खींयेरा),Khiyana (old Kheenyera),acquired,Dhatarwal history: vacated 1981-86; census Kheenyera 069262 survives outside range,Dhatarwal Jat; Nathu Dada devli nearby (unverified),IGNP villages,community,https://hi.wikipedia.org/wiki/सदस्य:धतरवाल_जाट
11,कोलाणा,Kolana,acquired,Dhatarwal history,Dhatarwal Jat,IGNP villages,community,https://hi.wikipedia.org/wiki/सदस्य:धतरवाल_जाट
12,अजीतवाणा,Ajeetwana,acquired (partial?),Dhatarwal history; census Ajeetmana 069245 survives,Dhatarwal Jat,IGNP villages,community,https://hi.wikipedia.org/wiki/सदस्य:धतरवाल_जाट
13,लाडेरा,Ladera,acquired,Dhatarwal history,Dhatarwal Jat,IGNP villages,community,https://hi.wikipedia.org/wiki/सदस्य:धतरवाल_जाट
14,भानाबस्ती,Bhanabasti,acquired,Dhatarwal history,Dhatarwal Jat,IGNP villages,community,https://hi.wikipedia.org/wiki/सदस्य:धतरवाल_जाट
15,नाथौर (नाथुवास),Nathor (Nathuwas),acquired,Dhatarwal history: principal village named after Nathu Dhatarwal,Dhatarwal Jat,IGNP villages,community,https://hi.wikipedia.org/wiki/सदस्य:धतरवाल_जाट
16,सुलेरा,Soolera,sister village outside range,Census 2011 code 069234 pop 612,Dhatarwal Jat,n/a,confirmed,https://www.census2011.co.in/data/subdistrict/475-lunkaransar-bikaner-rajasthan.html
17,भिखनेरा,Bheekhnera,sister village outside range,Census 2011 code 069237 pop 1474,Dhatarwal Jat,n/a,confirmed,https://www.census2011.co.in/data/subdistrict/475-lunkaransar-bikaner-rajasthan.html
18,मेघाणा,Rekh Meghana,sister village outside range,Census 2011 code 069238 pop 606,Dhatarwal Jat,n/a,confirmed,https://www.census2011.co.in/data/subdistrict/475-lunkaransar-bikaner-rajasthan.html
