State_Code,State_Name,District ,District _Name,Tehsil_Code,Tehsil_Name,Block_Code,Naya Panchayat_Code,Village_Code,NAME,Level,AREA,RES_HOUSE,HOUSEHOLDS,T_POPLN,T_M_POPLN,T_F_POPLN,POPLN_M6,POPLN_F6,M_SC,F_SC,M_ST,F_ST,M_LITERATE,F_LITERATE,T_M_WORKER,T_F_WORKER,M_INDCAT1,F_INDCAT1,M_INDCAT2,F_INDCAT2,M_INDCAT3,F_INDCAT3,M_INDCAT4,F_INDCAT4,M_INDCAT5A,F_INDCAT5A,M_INDCAT5B,F_INDCAT5B,M_INDCAT6,F_INDCAT6,M_INDCAT7,F_INDCAT7,M_INDCAT8,F_INDCAT8,M_INDCAT9,F_INDCAT9,M_MARGINAL,F_MARGINAL,M_NON_WORK,F_NON_WORK
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0001,SADOLAI,Rural,5549.63,147,147,983,533,450,114,93,96,72,1,0,79,5,313,171,255,146,46,21,1,0,0,0,1,0,3,2,0,0,1,2,0,0,6,0,0,2,220,277
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0002,GOURISAR,Rural,3526.96,70,70,466,238,228,60,56,48,46,1,0,54,8,131,2,122,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,1,0,137,107,89
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0003,MAHADEOWALI WITH BASKARNISAR,Rural,8998.48,316,316,2462,1269,1193,298,285,226,198,0,0,207,35,592,19,514,14,67,2,1,1,0,0,4,0,0,0,0,0,3,0,1,0,2,2,21,395,656,779
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0004,GHEGHRA,Rural,6913.89,167,167,1179,656,523,170,112,98,81,0,0,93,9,359,9,315,8,0,1,32,0,0,0,0,0,0,0,4,0,4,0,1,0,3,0,0,7,297,507
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0005,SANSAR DESAR,Rural,5641.16,372,373,2568,1357,1211,347,290,286,261,0,0,341,61,652,37,588,32,32,5,16,0,0,0,1,0,1,0,2,0,4,0,2,0,6,0,30,266,675,908
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0006,RANER WITH DAMOLAI,Rural,24622.76,729,736,5381,2890,2491,649,603,778,704,27,16,599,59,1458,310,1280,291,83,18,8,1,0,0,10,0,1,0,17,0,11,0,0,0,48,0,3,13,1429,2168
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0007,LAKHANSAR,Rural,3107.36,105,105,660,373,287,67,66,79,69,5,4,56,1,214,4,157,3,4,1,4,0,0,0,0,0,10,0,4,0,21,0,0,0,14,0,0,1,159,282
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0008,SHERPURA,Rural,1909.24,192,192,1161,653,508,160,137,187,163,35,23,165,20,361,116,354,116,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,0,0,45,292,347
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0009,GABNA @ LALANWALI,Rural,2416.88,167,167,1067,595,472,145,105,203,164,4,1,83,15,313,18,279,14,25,4,0,0,0,0,3,0,0,0,3,0,1,0,1,0,1,0,17,143,265,311
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0010,KHARBARA,Rural,13352.27,433,433,3009,1624,1385,341,336,768,681,6,2,390,58,787,237,666,214,50,19,15,0,0,0,2,3,6,0,11,0,18,0,5,0,14,1,2,2,835,1146
