location_code_1971,name_1971_ocr,area_acres,occupied_houses,households_1971,persons_1971,status_1971,pdf_page
1,Gaboa @ Lalawali,9450,15,15,76,inhabited,102
2,Sherpura,7466,,,,uninhabited,102
3,Kharbara,52178,86,175,730,inhabited,102
4,Takhtpura,12773,23,24,175,inhabited,102
5,Bhandsar,19927,89,94,455,inhabited,102
6,Dewasar,11449,32,32,180,inhabited,102
7,Kanholai with Bas Rampura,33147,154,156,1007,inhabited,102
8,Lakhansar,12149,28,28,149,inhabited,102
9,Raner with Damolai,60170,65,343,979,inhabited,102
10,Saosardesar,13947,16,16,108,inhabited,102
11,Gheghra,17084,37,233,634,inhabited,102
12,Mahadeowali Bas Karnisar,22208,125,125,931,inhabited,102
13,Gaurisar,8706,16,16,106,inhabited,102
14,Sadolai,13696,82,82,482,inhabited,102
15,Motasar,32888,61,61,394,inhabited,102
16,Raimalwali @ Reeoa,26319,57,61,440,inhabited,102
17,Beranwala,8450,32,37,286,inhabited,102
18,Kummana with Bas Dhannasar,23488,139,142,812,inhabited,102
19,Rekh Chudana,969,,,,uninhabited,102
20,Rekh Bhaoabasti,1046,,,,uninhabited,102
21,Ladera,6230,26,27,195,inhabited,102
22,Rekh Ajeetmana,632,,,,uninhabited,102
23,Bhunwala,11921,54,55,459,inhabited,102
24,Bheekhoera,5874,43,43,289,inhabited,102
25,Manera,17906,81,81,497,inhabited,102
26,Thuiya,12705,61,61,440,inhabited,102
27,Jagor,9118,52,53,422,inhabited,102
28,Hathoosar,8827,39,39,261,inhabited,102
29,Cheedasar,5958,36,36,217,inhabited,102
30,Hindor,6326,28,28,180,inhabited,102
31,Lakhaur Bari,9707,31,31,196,inhabited,102
32,Lakhaur Chhoti,2891,17,17,86,inhabited,102
33,Rampura,7649,40,41,254,inhabited,102
34,Phooleji,7519,64,66,443,inhabited,102
35,C'hak .lor,4889,,,,uninhabited,102
36,Ramsara,5587,59,59,378,inhabited,102
37,Chak Asrasar,1310,,,,uninhabited,102
38,Jaswantsar,8916,11,11,84,inhabited,102
39,Asrasar,3006,10,10,54,inhabited,102
40,Jagatsinghpura,3649,2,2,14,inhabited,102
41,J(hanisar,9767,97,102,661,inhabited,104
42,Likhmisar,4515,24,24,226,inhabited,104
43,Kumbhasar,4002,25,26,162,inhabited,104
44,Dooderiya,3894,,14,100,inhabited,104
45,Meusar,4619,49,49,362,inhabited,104
46,Nakrasar,7802,11,11,148,inhabited,104
47,I{ankraliya,5323,14,14,110,inhabited,104
48,Doader,12861,35,35,254,inhabited,104
49,Bhojrasar,17927,41,41,331,inhabited,104
50,I{hinyana,8338,17,17,93,inhabited,104
51,Shyodanpura,2663,,,,uninhabited,104
52,Manohariya,11266,96,96,629,inhabited,104
53,Gusaina,5310,12,12,103,inhabited,104
54,Baladesar,5978,29,29,209,inhabited,104
55,Ratnisar,5102,23,23,203,inhabited,104
56,Lalera,3279,13,13,114,inhabited,104
57,Chak Bhanwariya,5683,,,,uninhabited,104
58,Ghesoora,6556,57,58,376,inhabited,104
59,Ram Bagh,3748,85,86,571,inhabited,104
60,Soorajpura,3127,,,,uninhabited,104
61,Chak Arjansar,786,,,,uninhabited,104
62,Mithriya,9800,187,188,927,inhabited,104
63,Arjansar,2948,,,,uninhabited,104
64,RaOisar,3263,37,38,256,inhabited,104
65,Sabniyan,7648,87,88,663,inhabited,104
66,TaliwaJa,6700,24,24,149,inhabited,104
67,Jaitpur,50619,353,361,2327,inhabited,104
68,Ranjeetpura,4786,,,,uninhabited,104
69,Sherpura,30193,195,204,1379,inhabited,104
70,Mahajan,26800,951,966,3878,inhabited,104
71,Beer Sangreu,4193,,,,uninhabited,104
72,Mohkampura,7579,51,51,369,inhabited,104
73,Baderan,13740,76,76,482,inhabited,104
74,Soolera,6451,16,16,98,inhabited,104
75,Likhmi Narayansar@,2402,52,53,395,inhabited,104
76,DeJana Chhota,8289,3,3,,inhabited,104
77,Delana Bara          12.488,86,86,28,15,inhabited,104
78,Rekh Meghana,2073,,,,uninhabited,104
79,Khonkharana,12620,128,128,920,inhabited,104
80,Beermana,4050,63,63,419,inhabited,104
81,Motolai,12413,79,80,608,inhabited,104
82,Lakhawar              7.593,47,47,316,170,inhabited,104
83,Ajeetmana,3995,84,92,592,inhabited,104
84,Karnali,4069,9,9,61,inhabited,104
85,Koonda,11403,6,6,43,inhabited,104
86,Kela,35479,286,286,1904,inhabited,106
87,Sardarpura,22013,38,38,240,inhabited,106
