location_code_1981,name_1981,area_hectares,persons_1981,households_1981,status_1981,amenities_raw_ocr,vd_pdf_page,pca_pdf_page,fate_after_1981
2/2/1,Gabna @ Lalawali,3827,131,24,inhabited,"131(24) -(5-10) -(5-10) W,TK.,C -(5-10) -(5-10)",158,254,survives; in Chhatargarh tehsil (part) by 2001
2/2/2,Sherpura,338,546,117,inhabited,546(117) -(5-10) -(-5) W -(5-10) -(5-10),158,254,survives; in Chhatargarh tehsil (part) by 2001
2/2/3,Kharbara,5493,901,155,inhabited,"901(155) P(l) D(l) W,TK. PO BS",158,254,survives; in Chhatargarh tehsil (part) by 2001
2/2/4,Takhtpura,5173,348,50,inhabited,"348(50) P(l) -(5-10) W,Tl(,N -(5-10) -(5-10)",158,254,survives; in Chhatargarh tehsil (part) by 2001
2/2/5,Bhandsar,8070,665,107,inhabited,"665(107) P(l) -(10+) W,TK.,N --(10+) -(-5)",158,254,survives; in Chhatargarh tehsil (part) by 2001
2/2/6,Devasar,4474,471,68,inhabited,"471(68) P(1) -(5-10) W,TK. -(5-10) -(5-10)",158,254,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/7,Kanolai with Bas-Rampura,13527,1551,215,inhabited,"1,551(215) P(1) -(10+) W,TK.,TW PO BS",158,254,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/8,Lakhansar,1729,257,45,inhabited,257(45) -(5-10) -(5-10) -(-5) -(5-10) -(5-10),158,254,survives; in Chhatargarh tehsil (part) by 2001
2/2/9,Raner with Damolai,24368,1025,162,inhabited,"1,025(162) P(1) -(10+) W,TK.,C -(10+) BS",158,254,survives; in Chhatargarh tehsil (part) by 2001
2/2/10,Sansardesar,507,374,52,inhabited,"374(52) -(10+) -(10+) TK,C,L -(10+) -(10+ )",158,254,survives; in Chhatargarh tehsil (part) by 2001
2/2/11,Gheghra,6919,363,50,inhabited,"363(50) P(1) -(10+) TK,C,L -(10+) -(10+)",158,254,survives; in Chhatargarh tehsil (part) by 2001
2/2/12,Mahadeowali Bas Karnisar,8988,1418,204,inhabited,(from PCA),158,256,survives; in Chhatargarh tehsil (part) by 2001
