loc_code_1971,code_1961,name,lat_best,lon_best,lat_1961map,lon_1961map,lat_1971map,lon_1971map,sep_1961_vs_1971_km,inside_range_polygon,km_to_boundary,frac_1961_village_polygon_inside_osm_range,px_1971_rotated_jpg,px_1961_png
2,2,Sherpura,28.9446,73.3251,28.9446,73.3251,,,,False,12.9,,,"800,1358"
6,6,Dewasar,28.8805,73.4808,28.8817,73.4898,28.8794,73.4717,1.8,True,2.2,0.96,"1015,783","1191,1525"
7,7,Kanholai with Bas Rampura,28.7829,73.4615,28.7864,73.4703,28.7794,73.4526,1.9,True,6.0,1.0,"924,950","1114,1755"
15,15,Motasar,28.6364,73.4093,28.6306,73.3818,28.6422,73.4368,5.5,True,4.4,0.91,"793,1374","902,2221"
16,16,Raimalwali,28.6706,73.4539,28.684,73.4432,28.6572,73.4647,3.6,True,8.5,0.99,"862,1201","1038,2045"
17,17,Beranwala,28.7083,73.49,28.7095,73.4915,28.707,73.4885,0.4,True,10.8,1.0,"955,1114","1129,1941"
18,18,Kummana,28.7295,73.5814,28.7381,73.5637,28.721,73.599,3.9,True,6.1,1.0,"1187,1033","1345,1868"
19,19,Rekh Chudana,28.6806,73.593,28.6843,73.5867,28.677,73.5993,1.5,True,1.9,,"1249,1194","1365,2008"
20,20,Rekh Bhanabasti,28.6886,73.6077,28.6892,73.5999,28.6881,73.6154,1.5,True,1.0,,"1311,1155","1410,1988"
21,21,Ladera,28.674,73.5879,28.6718,73.5889,28.6762,73.5869,0.5,True,2.2,0.9,"1159,1214","1386,2050"
22,22,Rekh Ajeetmana,28.656,73.5883,28.6581,73.5829,28.654,73.5938,1.2,True,1.2,,"1278,1270","1380,2103"
23,23,Bhunwala,28.6468,73.5732,28.6481,73.5701,28.6455,73.5763,0.7,True,1.8,0.85,"1212,1308","1363,2160"
24,24,Bheekhnera,28.6706,73.6306,28.6614,73.6294,28.6799,73.6318,2.1,False,1.6,0.0,"1386,1232","1554,2088"
25,25,Manera,28.7262,73.6368,28.7372,73.6444,28.7152,73.6293,2.8,True,2.3,0.95,"1368,1034","1513,1852"
26,26,Thuiya,28.8503,73.5822,28.8478,73.5874,28.8527,73.5769,1.2,True,10.6,1.0,"1197,832","1385,1596"
27,27,Jagor,28.9218,73.564,28.9107,73.5565,28.9329,73.5716,2.9,True,5.0,1.0,"1168,698","1349,1441"
28,28,Hathoosar,28.9465,73.5689,28.9461,73.5637,28.9468,73.5741,1.0,True,5.3,0.96,"1160,608","1369,1326"
29,29,Cheedasar,28.9687,73.5543,28.9684,73.5405,28.969,73.5682,2.7,True,3.4,0.93,"1171,530","1328,1247"
30,30,Hindor,28.9729,73.6057,28.9777,73.6121,28.968,73.5994,1.6,True,4.2,1.0,"1272,522","1489,1227"
31,31,Lakhaur Bari,28.9863,73.6523,28.9861,73.6486,28.9865,73.6561,0.7,True,3.4,1.0,"1334,450","1589,1186"
32,32,Lakhaur Chhoti,28.9997,73.6684,28.997,73.6705,29.0024,73.6664,0.7,True,1.7,,"1455,427","1655,1160"
33,33,Rampura,28.9874,73.7154,28.9895,73.7072,28.9852,73.7235,1.7,True,1.5,0.97,"1495,465","1746,1182"
35,35,Chak Jor,28.9653,73.7792,28.9653,73.7792,,,,True,0.7,,,"1975,1238"
36,36,Ramsara,28.9306,73.7746,28.9301,73.78,28.9311,73.7692,1.1,False,0.4,0.11,"1670,591","1953,1331"
37,37,Chak Asrasar,28.9128,73.8141,28.9128,73.8141,,,,False,3.8,,,"2057,1360"
39,39,Asrasar,28.8898,73.7707,28.8918,73.761,28.8877,73.7805,2.0,False,0.5,,"1680,691","1875,1435"
40,40,Jagatsinghpura,28.9173,73.7398,28.9106,73.7387,28.924,73.741,1.5,True,2.2,,"1624,641","1828,1387"
41,41,Khanisar,28.9516,73.732,28.9603,73.7362,28.943,73.7278,2.1,True,2.4,0.95,"1522,561","1824,1258"
42,42,Likhmisar,28.9434,73.6608,28.9452,73.6526,28.9417,73.6691,1.7,True,8.0,1.0,"1405,586","1592,1315"
43,43,Kumbhasar,28.926,73.6801,28.9254,73.6851,28.9266,73.6752,1.0,True,7.1,1.0,"1436,629","1660,1368"
44,44,Dooderiya,28.9007,73.7184,28.9018,73.7189,28.8996,73.718,0.3,True,2.7,0.98,"1520,673","1748,1423"
45,45,Meusar,28.8948,73.6887,28.8955,73.697,28.8941,73.6804,1.6,True,5.0,1.0,"1454,706","1675,1460"
46,46,Nakrasari,28.916,73.6331,28.9128,73.6294,28.9192,73.6367,1.0,True,10.9,1.0,"1300,665","1511,1425"
47,47,Kankraliya,28.8822,73.6514,28.8818,73.6566,28.8826,73.6463,1.0,True,8.4,1.0,"1330,752","1562,1515"
48,48,Dooder,28.8574,73.7139,28.8592,73.6996,28.8556,73.7282,2.8,True,2.8,0.99,"1489,777","1663,1572"
49,49,Bhojrasar,28.8056,73.6979,28.7989,73.6882,28.8124,73.7077,2.4,True,2.2,0.95,"1409,898","1648,1698"
50,50,Khinyana,28.7157,73.6798,28.7247,73.688,28.7066,73.6716,2.6,True,1.5,0.85,"1473,1065","1666,1913"
51,51,Shyodanpura,28.7648,73.723,28.7604,73.7239,28.7692,73.7221,1.0,False,1.5,,"1542,1002","1753,1818"
74,74,Soolera,28.6677,73.6655,28.665,73.6686,28.6703,73.6624,0.8,False,3.1,0.0,"1525,1210","1644,2080"
78,78,Rekh Meghana,28.636,73.6056,28.631,73.6126,28.6411,73.5985,1.8,True,0.0,,"1378,1302","1503,2173"
80,81,Beermana,28.5819,73.5057,28.5724,73.4988,28.5915,73.5127,2.5,True,0.7,0.42,"1106,1461","1208,2345"
81,82,Motolai,28.6153,73.4992,28.6063,73.4993,28.6243,73.4992,2.0,True,1.7,0.92,"1050,1373","1172,2264"
