map,code_on_map,px_x,px_y,lon,lat,control_source
1971_map2.3_rotated,6,1015,783,73.4712,28.8796,AMS
1971_map2.3_rotated,7,924,950,73.4527,28.7789,AMS
1971_map2.3_rotated,15,793,1374,73.4385,28.6429,AMS
1971_map2.3_rotated,16,862,1201,73.4654,28.6565,AMS
1971_map2.3_rotated,18,1187,1033,73.5996,28.7203,AMS
1971_map2.3_rotated,21,1159,1214,73.5873,28.6763,AMS
1971_map2.3_rotated,23,1212,1308,73.5765,28.6456,AMS
1971_map2.3_rotated,24,1386,1232,73.6323,28.6808,AMS
1971_map2.3_rotated,25,1368,1034,73.6285,28.7145,AMS
1971_map2.3_rotated,26,1197,832,73.5765,28.853,AMS
1971_map2.3_rotated,27,1168,698,73.5719,28.9338,AMS
1971_map2.3_rotated,28,1160,608,73.5746,28.9468,AMS
1971_map2.3_rotated,30,1272,522,73.5988,28.9679,AMS
1971_map2.3_rotated,31,1334,450,73.6565,28.9864,AMS
1971_map2.3_rotated,32,1455,427,73.6655,29.0024,AMS
1971_map2.3_rotated,33,1495,465,73.7246,28.985,AMS
1971_map2.3_rotated,34,1605,426,73.7549,29.0222,AMS
1971_map2.3_rotated,36,1670,591,73.7692,28.9311,AMS
1971_map2.3_rotated,38,1740,668,73.7854,28.8748,AMS
1971_map2.3_rotated,39,1680,691,73.7808,28.8881,AMS
1971_map2.3_rotated,40,1624,641,73.74,28.925,AMS
1971_map2.3_rotated,41,1522,561,73.7285,28.9427,AMS
1971_map2.3_rotated,43,1436,629,73.6746,28.9267,AMS
1971_map2.3_rotated,44,1520,673,73.7181,28.8994,AMS
1971_map2.3_rotated,45,1454,706,73.6796,28.8943,AMS
1971_map2.3_rotated,46,1300,665,73.6373,28.9192,AMS
1971_map2.3_rotated,48,1489,777,73.7288,28.8554,AMS
1971_map2.3_rotated,49,1409,898,73.7085,28.8128,AMS
1971_map2.3_rotated,50,1473,1065,73.6712,28.706,AMS
1971_map2.3_rotated,51,1542,1002,73.7219,28.7698,AMS
1971_map2.3_rotated,70,1812,958,73.84,28.7851,AMS
1971_map2.3_rotated,3,866,645,73.4181,28.9388,AMS
1971_map2.3_rotated,5,1006,563,73.4865,28.9639,AMS
1971_map2.3_rotated,8,750,840,73.3473,28.8677,AMS
1971_map2.3_rotated,12,619,1189,73.3088,28.7034,AMS
1971_map2.3_rotated,81,1050,1373,73.4992,28.6245,AMS
1971_map2.3_rotated,80,1106,1461,73.5131,28.5917,AMS
1971_map2.3_rotated,74,1525,1210,73.6615,28.6702,AMS
1971_map2.3_rotated,78,1378,1302,73.5977,28.6412,AMS
1971_map2.3_rotated,58,1828,805,73.8604,28.8124,AMS
1971_map2.3_rotated,14,545,1400,73.26835,28.617234,GNS
1971_map2.3_rotated,9,650,922,73.286334,28.883964,GNS
1971_map2.3_rotated,73,1607,1163,73.765422,28.691296,GNS
1971_map2.3_rotated,52,1623,1019,73.771996,28.758587,GNS
1971_map2.3_rotated,72,1790,1160,73.837537,28.69888,GNS
1971_map2.3_rotated,54,1630,847,73.764759,28.827159,GNS
1971_map2.3_rotated,53,1598,905,73.74207,28.80844,OSM
1971_map2.3_rotated,55,1657,778,73.79487,28.84231,OSM
1971_map2.3_rotated,84,762,1514,73.35686,28.57189,OSM
1971_map2.3_rotated,83,935,1483,73.38827,28.56507,OSM
1971_map2.3_rotated,11,536,1038,73.25217,28.82313,OSM
1971_map2.3_rotated,13,495,1272,73.22671,28.69454,OSM
1971_map2.3_rotated,1,610,640,73.27813,28.91956,OSM
1971_map2.3_rotated,69,2024,993,73.916483,28.766345,GNS
1971_map2.3_rotated,77,1358,1396,73.612832,28.590217,GNS
1961_p266,6,1191,1525,73.4712,28.8796,AMS
1961_p266,7,1114,1755,73.4527,28.7789,AMS
1961_p266,15,902,2221,73.4385,28.6429,AMS
1961_p266,16,1038,2045,73.4654,28.6565,AMS
1961_p266,18,1345,1868,73.5996,28.7203,AMS
1961_p266,21,1386,2050,73.5873,28.6763,AMS
1961_p266,23,1363,2160,73.5765,28.6456,AMS
1961_p266,24,1554,2088,73.6323,28.6808,AMS
1961_p266,25,1513,1852,73.6285,28.7145,AMS
1961_p266,26,1385,1596,73.5765,28.853,AMS
1961_p266,27,1349,1441,73.5719,28.9338,AMS
1961_p266,28,1369,1326,73.5746,28.9468,AMS
1961_p266,30,1489,1227,73.5988,28.9679,AMS
1961_p266,31,1589,1186,73.6565,28.9864,AMS
1961_p266,32,1655,1160,73.6655,29.0024,AMS
1961_p266,33,1746,1182,73.7246,28.985,AMS
1961_p266,34,1896,1116,73.7549,29.0222,AMS
1961_p266,36,1953,1331,73.7692,28.9311,AMS
1961_p266,38,1963,1457,73.7854,28.8748,AMS
1961_p266,39,1875,1435,73.7808,28.8881,AMS
1961_p266,40,1828,1387,73.74,28.925,AMS
1961_p266,41,1824,1258,73.7285,28.9427,AMS
1961_p266,43,1660,1368,73.6746,28.9267,AMS
1961_p266,44,1748,1423,73.7181,28.8994,AMS
1961_p266,45,1675,1460,73.6796,28.8943,AMS
1961_p266,46,1511,1425,73.6373,28.9192,AMS
1961_p266,48,1663,1572,73.7288,28.8554,AMS
1961_p266,49,1648,1698,73.7085,28.8128,AMS
1961_p266,50,1666,1913,73.6712,28.706,AMS
1961_p266,51,1753,1818,73.7219,28.7698,AMS
1961_p266,70,2058,1778,73.84,28.7851,AMS
1961_p266,3,982,1414,73.4181,28.9388,AMS
1961_p266,5,1187,1267,73.4865,28.9639,AMS
1961_p266,8,889,1597,73.3473,28.8677,AMS
1961_p266,12,729,2024,73.3088,28.7034,AMS
1961_p266,74,1644,2080,73.6615,28.6702,AMS
1961_p266,78,1503,2173,73.5977,28.6412,AMS
1961_p266,58,2136,1605,73.8604,28.8124,AMS
1961_p266,14,661,2254,73.26835,28.617234,GNS
1961_p266,9,749,1636,73.286334,28.883964,GNS
1961_p266,73,1831,2003,73.765422,28.691296,GNS
1961_p266,52,1853,1856,73.771996,28.758587,GNS
1961_p266,72,2014,2040,73.837537,28.69888,GNS
1961_p266,54,1881,1651,73.764759,28.827159,GNS
1961_p266,53,1835,1729,73.74207,28.80844,OSM
1961_p266,55,1926,1570,73.79487,28.84231,OSM
1961_p266,11,625,1822,73.25217,28.82313,OSM
1961_p266,13,579,2078,73.22671,28.69454,OSM
1961_p266,1,690,1344,73.27813,28.91956,OSM
1961_p266,77,1537,2273,73.612832,28.590217,GNS
1961_p266,80,1347,2343,73.57108,28.55108,OSM Khokharana
1961_p266,81,1208,2345,73.5131,28.5917,AMS
1961_p266,82,1172,2264,73.4992,28.6245,AMS
1961_p266,84,1002,2362,73.38827,28.56507,OSM
