lgd_village_code,name_en,name_local,lgd_subdistrict_code,subdistrict,census2001_code,census2011_code,village_status,gp_code,gp_name,effective_date,last_updated,major_version,last_transaction_desc
69019,Akadeeyawala,,473,Bikaner,00492000,069019,I,294017,Daudsar,2005-01-01,2005-01-01,1,
69020,Lalsar,,473,Bikaner,00492100,069020,I,294017,Daudsar,2005-01-01,2005-01-01,1,
69021,Daudsar,,473,Bikaner,00492200,069021,I,294017,Daudsar,2005-01-01,2005-01-01,1,
69022,Jagdevwala,,473,Bikaner,00492300,069022,I,262121,Dandoosar,2025-05-20,2025-07-25,6,
69023,Dandoosar,,473,Bikaner,00492400,069023,I,262121,Dandoosar,2025-05-20,2025-07-23,6,
69024,Rakba Jalasar,,473,Bikaner,00492500,069024,I,294017,Daudsar,2014-03-24,2014-03-24,2,
69025,Jamsar,,473,Bikaner,00492600,069025,I,36021,Jamsar,2005-01-01,2005-01-01,1,
69026,Jalalsar,,473,Bikaner,00492700,069026,I,262127,Jalalsar,2025-05-20,2025-06-13,2,
69027,Kheenchiya,,473,Bikaner,00492800,069027,I,262127,Jalalsar,2025-05-20,2025-07-10,5,
69028,Khara,,473,Bikaner,00492900,069028,I,36028,Khara,2025-05-20,2025-07-23,7,
69029,Kanasar,,473,Bikaner,00493000,069029,I,36023,Kanasar,2005-01-01,2005-01-01,1,
69030,Rawatsar Kumahiran,,473,Bikaner,00493100,069030,I,36023,Kanasar,2019-01-08,2019-01-08,4,
69031,Sharah Bardi,,473,Bikaner,00493200,069031,I,262122,Sobhasar,2019-01-08,2019-01-08,3,
69032,Sharah Bhauvyas,,473,Bikaner,00493300,069032,I,262122,Sobhasar,2019-01-08,2019-01-08,3,
69033,Bherookheera,,473,Bikaner,00493400,069033,I,262122,Sobhasar,2025-05-20,2025-07-23,10,
69034,Bhairupawa,,473,Bikaner,00493500,069034,I,262124,Badrasar,2025-05-20,2025-07-10,4,
69035,Shobhasar,,473,Bikaner,00493600,069035,I,262122,Sobhasar,2025-07-20,2025-08-01,3,
69036,Sharah Jatan,,473,Bikaner,00493700,069036,I,262122,Sobhasar,2019-01-08,2019-01-08,3,
