slug,name_hi,name_en,project_status,census_1951_code,census_1951_name,census_1971_code,census_1971_name,census_1981_code,census_1981_name,census_1991_code,census_1991_name_or_status,census_2001_code,census_2001_name,census_2011_code,census_2011_name,lgd_village_code,lgd_name,lgd_gram_panchayat,status_summary,confidence,sources,notes
bhojrasar,भोजरासर,Bhojrasar,acquired,47,Bhojrasar / भोजरासर,49,Bhojrasar (inhabited),2/2/49,Bhojrasar,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
kumbhana,कुम्भाणा,Kumbhana,acquired,25,Kumbhana / कुंभाना,18,Kummana with Bas Dhannasar (inhabited),2/2/18,Kummana with Bas-Dhannasar,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,"1981 amenities: primary + middle school, dispensary, PHS, post office."
motlai,मोटलाई,Motlai,acquired,56,Motolai / मोटोलाई,81,Motolai (inhabited),2/2/81,Motolai,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,"1981 amenities: primary, middle and high school, post office."
khanisar,खानीसर,Khanisar,acquired,36,Khanisar / खानीसर,41,J(hanisar (inhabited),2/2/41,Khanisar,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,"LGD has a NEW village ""Naya Khanisar / नया खानीसर"" (LGD 925986, Lunkaransar, GP Chakjohad 36099, created 2013-08-26, no census code): probable resettlement namesake (medium)."
thoiya,ठोईयां,Thoiya,acquired,27,Thoiyan / थोइयां,26,Thuiya (inhabited),2/2/26,Thoia,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
manera,मणेरां,Manera,acquired,26,Maneran / मनेरां,25,Manera (inhabited),2/2/25,Manera,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
duder,दुदेर,Duder,acquired,45,Duder / दुदेर,48,Doader (inhabited),2/2/48,Dooder,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
chidasar,चिड़ासर,Chidasar,acquired,6,Chidsar / चीडासर,29,Cheedasar (inhabited),2/2/29,Cheedasar,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
meusar,मेऊसर,Meusar,acquired,38,Meusar / मेउसर,45,Meusar (inhabited),2/2/45,Meusar,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,Different Meusar 069596 exists in Jasrasar sub-district (LGD 69596); not this village.
khiyana,खिंयाणा,Khiyana,acquired,49,Khiana / खीयाना,50,I{hinyana (inhabited),2/2/50,Khinyana,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
