code_1981,name_1981,persons,males,females,sc_males,sc_females,literate_males,literate_females,crude_lit_pct_male,crude_lit_pct_female,group,ocr_note,source
2/2/6,Devasar,471,238,233,60,66,13,2,5.5,0.9,range,,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/7,Kanolai with Bas-Rampura,1551,826,725,175,143,146,9,17.7,1.2,range,,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/15,Motasar,662,354,308,90,,99,8,28.0,2.6,range,SC F unreadable ('Ii4'),"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/16,Raimalwali @ Reena,813,426,387,212,172,54,5,12.7,1.3,range,,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/17,Beranwala,319,168,151,23,21,54,6,32.1,4.0,range,,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/18,Kummana with Bas-Dhannasar,1245,633,612,215,179,147,55,23.2,9.0,range,,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/21,Ladera,323,165,158,48,44,36,3,21.8,1.9,range,,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/23,Bhunwala,705,359,346,29,27,84,0,23.4,0.0,range,lit F blank (read as 0),"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/25,Manera,829,433,396,71,61,27,4,6.2,1.0,range,,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/26,Thoia,673,340,333,28,37,59,0,17.4,0.0,range,persons OCR '073'; lit F blank,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/27,Jagor,714,371,343,41,42,86,0,23.2,0.0,range,F OCR ':143'; lit F blank,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/28,Hathoosar,606,319,287,135,115,32,2,10.0,0.7,range,,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/29,Cheedasar,446,218,228,32,42,25,0,11.5,0.0,range,persons OCR '4411'; lit F blank,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/30,Hindor,318,161,157,0,0,46,7,28.6,4.5,range,no SC,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/31,Lakhor Bari,420,230,190,4,3,,,,,range,"five numbers after F (4,3,71,61,12): column assignment uncertain; check PDF","DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/32,Lakhor Chhoti,247,128,119,56,51,3,2,2.3,1.7,range,,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/33,Rampura,437,233,204,79,68,5,0,2.1,0.0,range,lit F blank,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
