row_type,place_id,name_hi,name_en,place_kind,confidence,linked_old_villages,evidence,evidence_urls,census2011_code,lgd_village_code,subdistrict_lgd_2026,block_lgd_2026,gram_panchayat_lgd,gp_lgd_code,lgd_name,lgd_effective_date,source_lgd,census2011_name,tehsil_2011,population_2011,households_2011,avg_hh_size,sc_pct,st_pct,sex_ratio_f_per_1000m,child_0_6_pct,literacy_pct_total,literacy_pct_male,literacy_pct_female,main_workers,marginal_workers,work_participation_pct,main_share_of_workers_pct,female_work_participation_pct,cultivators_pct_of_main,agri_labourers_pct_of_main,other_workers_pct_of_main,source_pca,area_ha,vd_school_primary,vd_school_middle,vd_school_secondary,vd_school_sr_secondary,vd_college_arts_sci_com,vd_iti_vocational,vd_chc,vd_phc,vd_phs_subcentre,vd_dispensary,vd_veterinary_hospital,vd_water_tap,vd_water_handpump,vd_water_tubewell,vd_water_canal,vd_water_tank_pond,vd_post_office,vd_mobile_coverage,vd_bus_service,vd_road_state_highway,vd_road_major_district,vd_road_pucca,vd_bank,vd_atm,vd_agri_credit_society,vd_shg,vd_pds_shop,vd_mandi,vd_weekly_haat,vd_anganwadi,vd_asha,vd_public_library,vd_power_domestic,vd_power_agri,vd_nearest_town,vd_nearest_town_distance_code,vd_net_sown_ha,vd_irrigated_ha,vd_canal_irrigated_ha,vd_culturable_waste_ha,source_vd,tehsil_rural_literacy_pct_male,tehsil_rural_literacy_pct_female,tehsil_rural_sc_pct,tehsil_rural_main_share_of_workers_pct,tehsil_rural_cultivators_pct_of_main,tehsil_share_villages_school_sr_secondary,tehsil_share_villages_phc,tehsil_share_villages_water_tap,tehsil_share_villages_road_pucca,tehsil_share_villages_bank
place,ramnagar,रामनगर,Ram Nagar,new_abadi_govt,high,(not named in sources),"One of three new villages for MFFR displaced (Standing Committee on Defence 13th report 2006, para 3.67; ATR 24th report 2008); new abadi of displaced (RLA USQ 16, 24-03-1995); 80-90 km from Lunkaransar (RLA 25-03-1992); 2001 DCH: new since 1991",https://archive.org/details/eparlib.nic.in.62680 ; https://archive.org/details/rajasthanlegislature.assembly10.session4.24-03-1995 ; https://archive.org/details/rajasthanlegislature.assembly9.session6.25-03-1992,069794,69794,Chhatargarh,Poogal,Ram Nagar,294060,Ramnagar,2023-10-07,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69794 (POST, retrieved 2026-09-26)",Ramnagar,Chhatargarh,1845,260,7.1,22.5,0.0,875,16.0,60.9,71.5,49.0,876,84,52.0,91.2,51.7,85.7,1.6,12.6,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",7610,2,2,2,1,c,c,c,c,1,c,c,Yes,No,No,No,No,c,Yes,Yes,c,c,c,c,c,c,c,Yes,c,c,Yes,Yes,c,Yes,No,BIKANER,c,3587,0,0,181,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",63.2,40.4,28.7,71.2,69.6,8% of 64 villages,5% of 64 villages,42% of 64 villages,20% of 64 villages,12% of 64 villages
place,krishan_nagar,कृष्णनगर,Krishna Nagar / Krishan Nagar,new_abadi_govt,high,Dhatarwal villages (Jatland list),"Three new villages (SCoD 2006, ATR 2008); new abadi (RLA 1995); 80-90 km (RLA 1992); Jatland Dhatarwal page lists Krishnanagar",https://archive.org/details/eparlib.nic.in.62680 ; https://archive.org/details/rajasthanlegislature.assembly10.session4.24-03-1995 ; https://www.jatland.com/home/Dhatarwal,069788,69788,Chhatargarh,Poogal,Krishan Nagar,262280,Krishan Nagar,2023-10-07,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69788 (POST, retrieved 2026-09-26)",Krishan Nagar,Chhatargarh,1450,223,6.5,33.4,0.6,898,16.6,59.7,70.0,48.2,343,552,61.7,38.3,62.2,87.8,0.0,12.0,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",6349,2,2,c,c,c,c,c,c,c,c,c,Yes,No,Yes,Yes,Yes,c,Yes,c,c,c,c,c,c,c,c,Yes,c,c,Yes,Yes,c,Yes,Yes,BIKANER,c,1890,64.8,64.8,831,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",63.2,40.4,28.7,71.2,69.6,8% of 64 villages,5% of 64 villages,42% of 64 villages,20% of 64 villages,12% of 64 villages
place,kumbhana_baas,कुम्भाणा बास,Kumbhan bass / Kumbhana Baas,new_abadi_govt,unresolved,Kumbhana,Third new village named by MoD (SCoD 2006; ATR 2008 'Kumbhana Baas'); no census or LGD entity with this name; 2025 Rajasthan Gazette lists 'sa. Kumbhana MFFR khatedar' holding land in chak 8 DL (Chhatargarh area),https://archive.org/details/eparlib.nic.in.62680 ; https://archive.org/details/in.gazette.rajasthan_extraordinary.2025-12-23.5116939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
place,samarda_nosera,सामरदा (नोसेरा),Samarda / Samratha (GP Nosera Samrda); chak 15 KJD,new_abadi_govt,medium,Dhatarwal villages (Jatland 'Samartha'); HC 2025 batch,"RLA 1995: new abadi 'Samarda', a panchayat HQ (1971 pop 105); LGD GP 36042 'Nosera Samrda'; LGD sub-village 'Nosera-15 KJD' = chak 15 KJD of HC 19-02-2025 petitioners (some are later buyers)",https://archive.org/details/rajasthanlegislature.assembly10.session4.24-03-1995 ; https://indiankanoon.org/doc/150464229/ ; https://www.jatland.com/home/Dhatarwal,069762,69762,Khajuwala,Khajuwala,Nosera Samrda,36042,Nosera,2025-05-20,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69762 (POST, retrieved 2026-09-26)",Nosera,Khajuwala,4489,773,5.81,13.5,0.1,918,16.7,55.1,66.1,43.2,2119,293,53.7,87.9,52.9,72.7,5.9,18.5,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",18708.9,2,1,1,b,b,b,b,b,1,1,b,Yes,Yes,Yes,Yes,Yes,b,Yes,Yes,b,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,b,Yes,Yes,b,Yes,No,BIKANER,c,1459,1149.5,1149.5,8303,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",73.9,50.1,33.2,80.4,69.2,4% of 54 villages,6% of 54 villages,41% of 54 villages,24% of 54 villages,13% of 54 villages
place,chak_34_kyd,चक 34 केवाईडी,Chak 34 KYD,new_abadi_govt,high,(not named),RLA 1995: new abadi of displaced and panchayat HQ; Krishi Upaj Mandi Bikaner sanctioned a bitumen road to it,https://archive.org/details/rajasthanlegislature.assembly10.session4.24-03-1995,069729,69729,Khajuwala,Khajuwala,34 Kyd,36001,34 Kyd,2025-05-20,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69729 (POST, retrieved 2026-09-26)",34 Kyd,Khajuwala,1595,227,7.03,27.2,0.1,943,19.1,70.4,84.2,54.7,698,7,44.2,99.0,36.2,73.6,20.6,5.7,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",5123,2,1,1,c,c,c,c,c,c,c,c,Yes,Yes,Yes,Yes,Yes,c,Yes,Yes,c,c,Yes,c,c,c,c,Yes,c,c,Yes,Yes,c,Yes,No,BIKANER,c,521,347,347,2172,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",73.9,50.1,33.2,80.4,69.2,4% of 54 villages,6% of 54 villages,41% of 54 villages,24% of 54 villages,13% of 54 villages
place,naya_khanisar,नया खानीसर,Naya Khanisar,lgd_new_village,medium,Khanisar,LGD village created 26-08-2013 in GP Chakjohad (range edge); Army East Camp list 2025 names 'Naya Khanisar' (Bhaskar 16-11-2025),https://lgdirectory.gov.in/ ; research/leads/files/news_academic/bhaskar_2025-11-16_sena-sarpanchon-ko-patra.txt,,925986,Lunkaransar,Lunkaransar,Chakjohad,36099,Naya Khanisar,2013-08-26,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=925986 (POST, retrieved 2026-09-26)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
place,sansardesar,संसारदेसर,Sansardesar,community_named,medium,Dhatarwal villages (Jatland),Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in IGNP villages incl. Sansardesar,https://www.jatland.com/home/Dhatarwal,069807,69807,Chhatargarh,Khajuwala,Sansardesar,36125,Sansardesar,2025-05-20,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69807 (POST, retrieved 2026-09-26)",Sansardesar,Chhatargarh,2069,364,5.68,9.9,0.0,891,16.6,63.7,77.0,48.8,1073,239,63.4,81.8,62.6,77.6,7.1,15.3,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",3953,2,2,1,c,c,c,c,c,a,c,c,Yes,Yes,Yes,Yes,Yes,c,Yes,c,c,c,Yes,c,c,c,a,Yes,Yes,c,Yes,Yes,c,Yes,Yes,BIKANER,c,1985,1816.5,1816.5,629,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",63.2,40.4,28.7,71.2,69.6,8% of 64 villages,5% of 64 villages,42% of 64 villages,20% of 64 villages,12% of 64 villages
place,bas_karnisar,बास करणीसर,Karnisar (census: 'Baskar Nisar' = Bas Karnisar),community_named,medium,Dhatarwal villages (Jatland),"Jatland lists 'Karnisar' among IGNP resettlement villages; Chhatargarh has Bas Karnisar (069804, GP Mahadevwali) next to Sansardesar; alternatives Karnisar 069354 (Bajju) and Bas Karnisar 069335 (Lunkaransar) not excluded",https://www.jatland.com/home/Dhatarwal,069804,69804,Chhatargarh,Poogal,Mahadevwali,36114,Bas Karnisar,2023-10-07,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69804 (POST, retrieved 2026-09-26)",Baskar Nisar,Chhatargarh,1328,232,5.72,27.2,0.0,868,19.0,45.0,53.8,34.6,461,228,51.9,66.9,49.9,72.0,18.0,9.3,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",2364,1,1,b,c,c,c,c,c,c,c,c,No,No,No,No,Yes,c,Yes,Yes,c,c,b,c,c,c,c,Yes,c,c,Yes,Yes,c,Yes,No,BIKANER,c,1410,0,0,829,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",63.2,40.4,28.7,71.2,69.6,8% of 64 villages,5% of 64 villages,42% of 64 villages,20% of 64 villages,12% of 64 villages
place,takhatpura,तख्तपुरा,Takhtpura / Takhatpura,community_named,medium-high,Dhatarwal villages (Jatland),"Jatland list; RLA 25-03-1992 names Takhtpura, Kharbara, Krishna Nagar, Ramnagar as villages 80-90 km from Lunkaransar across the range",https://www.jatland.com/home/Dhatarwal ; https://archive.org/details/rajasthanlegislature.assembly9.session6.25-03-1992,069784,69784,Chhatargarh,Poogal,Takhatpura 4tm,36130,Takhatpura,2025-05-20,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69784 (POST, retrieved 2026-09-26)",Takhatpura,Chhatargarh,1616,245,6.6,34.6,0.3,917,15.5,65.8,76.3,54.5,530,167,43.1,76.0,30.9,78.5,6.4,14.9,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",2185,2,1,1,c,c,c,c,c,c,c,c,No,Yes,Yes,Yes,Yes,c,Yes,Yes,c,b,Yes,c,c,Yes,c,Yes,c,c,Yes,Yes,c,Yes,Yes,BIKANER,c,415,122.2,122.2,330,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",63.2,40.4,28.7,71.2,69.6,8% of 64 villages,5% of 64 villages,42% of 64 villages,20% of 64 villages,12% of 64 villages
place,kharbara,खारबारा,Kharbara (incl. chak 3 KPM),court_chak,medium-high,(HC 2016 petitioner),"RLA 1992 (with Takhtpura, Krishna Nagar, Ramnagar); HC 22-09-2016 Heera Ram: MFFR allotment in chak 3 KPM on 5-9-1987; LGD sub-village 'Kharbara-3 KPM'",https://archive.org/details/rajasthanlegislature.assembly9.session6.25-03-1992 ; https://indiankanoon.org/doc/174785904/,069789,69789,Chhatargarh,Poogal,Kharbara 3 DL,36109,Kharbara,2025-05-20,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69789 (POST, retrieved 2026-09-26)",Kharbara,Chhatargarh,2296,392,5.86,47.7,0.1,876,16.6,55.0,68.6,39.6,846,264,48.3,76.2,42.9,62.9,24.8,12.2,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",2209,2,2,2,c,c,c,c,c,1,c,1,Yes,Yes,Yes,Yes,No,c,Yes,Yes,c,c,Yes,Yes,c,Yes,c,Yes,Yes,c,Yes,Yes,c,Yes,Yes,BIKANER,c,569,195.1,195.1,115,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",63.2,40.4,28.7,71.2,69.6,8% of 64 villages,5% of 64 villages,42% of 64 villages,20% of 64 villages,12% of 64 villages
