old_code_1981,old_name_1981,old_persons_1981,old_households_1981,old_amenities_1981_raw_ocr,destination_place_id,evidence,evidence_url,confidence
2/2/49,Bhojrasar,497,75,"497(75) P(1) -(10+) W,TK,O -(10+) -(10+)",malkisar,"Gazette of India 17-07-2019: 'Sa. Bhojrasar Haal Malkisar, Khatedar MFFR'",https://archive.org/details/in.gazette.central.e.2019-07-17.207229,medium
2/2/49,Bhojrasar,497,75,"497(75) P(1) -(10+) W,TK,O -(10+) -(10+)",pwm_3,HC 2018/2020: Bhojrasar-origin respondent 'at present Chak 3 Pavli',https://indiankanoon.org/doc/41210648/,medium
2/2/49,Bhojrasar,497,75,"497(75) P(1) -(10+) W,TK,O -(10+) -(10+)",mahajan,Patrika 2022: Bhojrasar family in Mahajan,https://www.patrika.com/bikaner-news/mahajan-field-firing-range-7893463,medium
2/2/18,Kummana with Bas-Dhannasar,1245,213,"1,245(213) P(l)M(I) D(1)PHS(I) W,TK,TW,O PO (10+)",kumbhana_baas,MoD name 'Kumbhan bass' (SCoD 2006),https://archive.org/details/eparlib.nic.in.62680,medium (name only)
2/2/18,Kummana with Bas-Dhannasar,1245,213,"1,245(213) P(l)M(I) D(1)PHS(I) W,TK,TW,O PO (10+)","(chak 8 DL, Chhatargarh)",Rajasthan Gazette 23-12-2025: 'sa. Kumbhana MFFR khatedar' land in 8 DL,https://archive.org/details/in.gazette.rajasthan_extraordinary.2025-12-23.5116939,low-medium
2/2/41,Khanisar,945,114,"945(114) P(l) -(10+) T,W PO -(10+)",naya_khanisar,"LGD 'Naya Khanisar' 2013, GP Chakjohad; Army letter 2025",https://lgdirectory.gov.in/,medium
2/2/6,Devasar,471,68,"471(68) P(1) -(5-10) W,TK. -(5-10) -(5-10)",devasar_new,"HC 2017 'Nai Aabadi Devasar, Upniveshan Chhatargarh No.2'; LGD Devasar 931790 (Poogal)",https://indiankanoon.org/doc/174753246/,low-medium
2/2/15,Motasar,662,88,"662(88) P(1) -(10+) W,TK PO BS",naya_motasar,LGD 'Naya Motasar' 2025 (Poogal); unproven,https://lgdirectory.gov.in/,low
2/2/7,Kanolai with Bas-Rampura,1551,215,"1,551(215) P(1) -(10+) W,TK.,TW PO BS",(Bikaner city),"HC 22-10-2020: 'R/o displaced village Kanolai, presently residing at ... Bikaner'",https://indiankanoon.org/doc/154017976/,medium (one family)
2/2/42,Likhmisar,345,38,"345(38) P(1) -(10+) W,TK,O -(10+) -(10+)",dehriya,"HC 2018/2020: land allotted to Likhmisar oustees disputed with Dehriya residents (land, not residence)",https://indiankanoon.org/doc/37576754/,low
2/2/25,Manera,829,131,"829(131) pel) -(5-10) W,TK -(5-10) BS",dehriya,same dispute (land),https://indiankanoon.org/doc/41210648/,low
2/2/50,Khinyana,181,23,"181 (23) P(l) -(10+) W,TK -(10+) -(10+)",sansardesar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/50,Khinyana,181,23,"181 (23) P(l) -(10+) W,TK -(10+) -(10+)",bas_karnisar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/50,Khinyana,181,23,"181 (23) P(l) -(10+) W,TK -(10+) -(10+)",krishan_nagar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/50,Khinyana,181,23,"181 (23) P(l) -(10+) W,TK -(10+) -(10+)",takhatpura,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/50,Khinyana,181,23,"181 (23) P(l) -(10+) W,TK -(10+) -(10+)",samarda_nosera,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/50,Khinyana,181,23,"181 (23) P(l) -(10+) W,TK -(10+) -(10+)",warani,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/50,Khinyana,181,23,"181 (23) P(l) -(10+) W,TK -(10+) -(10+)",nathusar_bas,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/18,Kummana with Bas-Dhannasar,1245,213,"1,245(213) P(l)M(I) D(1)PHS(I) W,TK,TW,O PO (10+)",sansardesar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/18,Kummana with Bas-Dhannasar,1245,213,"1,245(213) P(l)M(I) D(1)PHS(I) W,TK,TW,O PO (10+)",bas_karnisar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/18,Kummana with Bas-Dhannasar,1245,213,"1,245(213) P(l)M(I) D(1)PHS(I) W,TK,TW,O PO (10+)",krishan_nagar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
