shrid2,pc91_state_id,pc91_district_id,pc91_subdistrict_id,pc91_village_id,pc91_land_area,pc91_pca_tot_p
11-08-101-00475-069203,21,02,0020,0015,19.4587,1294.0
11-08-101-00475-069204,21,02,0020,0016,19.7944,847.0
11-08-101-00475-069205,21,02,0020,0018,5.3007,186.0
11-08-101-00475-069206,21,02,0020,0017,22.61,651.0
11-08-101-00475-069207,21,02,0020,0014,12.16,399.0
11-08-101-00475-069208,21,02,0020,0019,35.14,452.0
11-08-101-00475-069209,21,02,0020,0027,1.97,1726.0
11-08-101-00475-069210,21,02,0020,0028,34.0397,738.0
11-08-101-00475-069212,21,02,0020,0032,31.2995,1401.0
11-08-101-00475-069213,21,02,0020,0031,27.1248,809.0
11-08-101-00475-069214,21,02,0020,0034,177.7345,4494.0
11-08-101-00475-069215,21,02,0020,0033,27.12,7.0
11-08-101-00475-069216,21,02,0020,0037,13.46,163.0
11-08-101-00475-069217,21,02,0020,0038,91.77,2570.0
11-08-101-00475-069218,21,02,0020,0036,16.38,193.0
11-08-101-00475-069220,21,02,0020,0030,13.2,638.0
11-08-101-00475-069223,21,02,0020,0024,15.17,1109.0
11-08-101-00475-069224,21,02,0020,0023,26.53,749.0
11-08-101-00475-069225,21,02,0020,0022,22.12,37.0
11-08-101-00475-069226,21,02,0020,0021,13.2727,294.0
11-08-101-00475-069227,21,02,0020,0020,20.6532,400.0
11-08-101-00475-069228,21,02,0020,0039,108.5241,4998.0
11-08-101-00475-069229,21,02,0020,0040,24.1943,729.0
11-08-101-00475-069230,21,02,0020,0041,21.49,621.0
11-08-101-00475-069232,21,02,0020,0043,45.59,1027.0
11-08-101-00475-069233,21,02,0020,0044,55.6,1403.0
11-08-101-00475-069234,21,02,0020,0045,26.106499,414.0
11-08-101-00475-069235,21,02,0020,0046,8.34,455.0
11-08-101-00475-069236,21,02,0020,0047,30.06,634.0
11-08-101-00475-069237,21,02,0020,0048,23.7697,1039.0
11-08-101-00475-069238,21,02,0020,0049,8.3862,649.0
11-08-101-00475-069239,21,02,0020,0050,43.5328,914.0
11-08-101-00475-069241,21,02,0020,0051,40.43,1860.0
11-08-101-00475-069242,21,02,0020,0052,26.55,860.0
11-08-101-00475-069243,21,02,0020,0053,19.4,1062.0
11-08-101-00475-069244,21,02,0020,0054,30.73,730.0
11-08-101-00475-069245,21,02,0020,0055,16.17,1137.0
11-08-101-00475-069246,21,02,0020,0056,16.47,193.0
11-08-101-00475-069247,21,02,0020,0062,32.83,1400.0
11-08-101-00475-069248,21,02,0020,0063,44.88,1292.0
11-08-101-00475-069249,21,02,0020,0064,12.32,290.0
11-08-101-00475-069250,21,02,0020,0065,14.21,47.0
11-08-101-00475-069252,21,02,0020,0067,14.49,272.0
11-08-101-00475-069253,21,02,0020,0068,16.19,20.0
11-08-101-00475-069254,21,02,0020,0069,,6.0
11-08-101-00475-069256,21,02,0020,0074,6.669,198.0
11-08-101-00475-069257,21,02,0020,0072,8.0441,526.0
11-08-101-00475-069262,21,02,0020,0078,19.2,1565.0
11-08-101-00475-069263,21,02,0020,0079,18.52,699.0
11-08-101-00475-069264,21,02,0020,0081,4.08,22.0
11-08-101-00475-069265,21,02,0020,0080,9.24,945.0
11-08-101-00475-069266,21,02,0020,0082,53.58,1096.0
11-08-101-00475-069267,21,02,0020,0083,44.07,580.0
11-08-101-00475-069268,21,02,0020,0084,40.28,302.0
11-08-101-00475-069269,21,02,0020,0085,17.5347,930.0
11-08-101-00475-069270,21,02,0020,0087,13.0817,673.0
11-08-101-00475-069271,21,02,0020,0086,10.0526,404.0
11-08-101-00475-069272,21,02,0020,0088,24.3343,650.0
11-08-101-00475-069273,21,02,0020,0089,12.123199,325.0
11-08-101-00475-069274,21,02,0020,0090,16.1441,148.0
11-08-101-00475-069275,21,02,0020,0091,15.3172,1013.0
11-08-101-00475-069276,21,02,0020,0092,24.5896,468.0
11-08-101-00475-069277,21,02,0020,0093,16.3982,1135.0
11-08-101-00475-069278,21,02,0020,0100,10.9903,55.0
11-08-101-00475-069279,21,02,0020,0094,6.9719,1013.0
11-08-101-00475-069280,21,02,0020,0095,27.0606,1373.0
11-08-101-00475-069281,21,02,0020,0096,60.8912,1057.0
11-08-101-00475-069282,21,02,0020,0097,33.881,2112.0
