shrid2,pc91_vd_edu_fac,pc91_vd_p_sch,pc91_vd_m_sch,pc91_vd_s_sch,pc91_vd_s_s_sch,pc91_vd_college,pc91_vd_ind_sch,pc91_vd_tr_sch,pc91_vd_adlt_lt_cn,pc91_vd_oth_sch,pc91_vd_medi_fac,pc91_vd_hosp,pc91_vd_mcw_cntr,pc91_vd_m_home,pc91_vd_cwc,pc91_vd_h_cntr,pc91_vd_ph_cntr,pc91_vd_phs_cnt,pc91_vd_disp_cntr,pc91_vd_fwc_cntr,pc91_vd_tb_cln,pc91_vd_n_home,pc91_vd_rmp,pc91_vd_smp,pc91_vd_chw,pc91_vd_oth_cntr,pc91_vd_tap,pc91_vd_well,pc91_vd_tank,pc91_vd_tubewell,pc91_vd_handpump,pc91_vd_fountain,pc91_vd_canal,pc91_vd_lake,pc91_vd_p_t_fac,pc91_vd_rang_po,pc91_vd_mrkt_fac,pc91_vd_comm_fac,pc91_vd_app_nw,pc91_vd_power_supl,pc91_vd_power_agr,pc91_vd_power_eo,pc91_vd_power_all,pc91_vd_cult_waste,pc91_vd_area,pc91_vd_t_hh,pc91_vd_t_p,pc91_vd_rang_edu_f,pc91_vd_rang_med_f,pc91_vd_drnk_wat_f,pc91_vd_rang_wat_f,pc91_vd_river,pc91_vd_post_off,pc91_vd_post_tele,pc91_vd_phone,pc91_vd_mrkt_day_1,pc91_vd_mrkt_day_2,pc91_vd_mrkt_day_3,pc91_vd_mrkt_day_4,pc91_vd_mrkt_day_5,pc91_vd_mrkt_day_6,pc91_vd_mrkt_day_7,pc91_vd_mrkt_day_d,pc91_vd_mrkt_day_f,pc91_vd_mrkt_day_m,pc91_vd_bs_fac,pc91_vd_tx_temp_fa,pc91_vd_rs_fac,pc91_vd_nw_fac,pc91_vd_app_pr,pc91_vd_app_mr,pc91_vd_app_fp,pc91_vd_app_navriv,pc91_vd_app_navcan,pc91_vd_dist_town,pc91_vd_power_dom,pc91_vd_land_fores,pc91_vd_canal_govt,pc91_vd_well_wo_el,pc91_vd_canal_pvt,pc91_vd_well_w_el,pc91_vd_tw_wo_el,pc91_vd_tw_w_el,pc91_vd_tank_irr,pc91_vd_river_irr,pc91_vd_lake_irr,pc91_vd_w_fall,pc91_vd_oth_irr,pc91_vd_tot_irr,pc91_vd_un_irr,pc91_vd_area_na_cu,pc91_vd_rang_mkt_f,pc91_vd_rang_com_f,pc91_vd_schools1,pc91_vd_schools2,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share
11-08-101-00475-069203,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,733.719970703125,,,,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,155.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1104.8299560546875,108.05000305175781,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0
11-08-101-00475-069204,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,212.47000122070312,,,,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,134.0,1.0,0.0,74.05999755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1645.9100341796875,68.80000305175781,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0
11-08-101-00475-069205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.9199981689453,,,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.6499938964844,31.15999984741211,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
11-08-101-00475-069206,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,320.25,,,,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1890.43994140625,50.31999969482422,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0
11-08-101-00475-069207,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,210.44000244140625,,,,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.2000122070312,40.470001220703125,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0
11-08-101-00475-069208,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,870.25,,,,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2512.510009765625,131.27000427246094,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0
11-08-101-00475-069209,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,31.989999771118164,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,126.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.97999572753906,3.990000009536743,0.0,0.0,3.0,8.0,0.0,0.0,1.0,1.0
11-08-101-00475-069210,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,465.989990234375,,,,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2829.97998046875,107.98999786376953,0.0,2.0,1.0,6.0,0.0,0.0,1.0,1.0
11-08-101-00475-069212,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.9099731445312,,,,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2528.9599609375,73.6500015258789,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0
11-08-101-00475-069213,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634.1599731445312,,,,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356.949951171875,105.22000122070312,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0
